1	62.2
2	71.9
3	71.9
4	88.6
5	88.6
6	88.6
7	88.6
8	88.6
9	88.6
10	88.6
11	88.6
12	88.6
13	88.6
14	88.6
15	88.6
16	88.6
17	88.6
18	88.6
19	88.6
20	88.6
21	88.6
22	88.6
23	88.6
24	88.6
25	88.6
26	88.6
27	88.6
28	88.6
29	88.6
30	88.6
31	88.6
32	88.6
33	88.6
34	88.6
35	88.6
36	88.6
37	88.6
38	88.6
39	88.6
40	88.6
41	88.6
42	88.6
43	88.6
44	88.6
45	88.6
46	88.6
47	88.6
48	88.6
49	88.6
50	88.6
51	88.6
52	88.6
53	88.6
54	88.6
55	88.6
56	88.6
57	88.6
58	88.6
59	88.6
60	88.6
61	88.6
62	88.6
63	88.6
64	88.6
65	88.6
66	88.6
67	88.6
68	88.6
69	88.6
70	88.6
71	88.6
72	88.6
73	88.6
74	88.6
75	88.6
76	88.6
77	88.6
78	88.6
79	88.6
80	88.6
81	88.6
82	88.6
83	88.6
84	88.6
85	88.6
86	88.6
87	88.6
88	88.6
89	88.6
90	88.6
91	88.6
92	88.6
93	88.6
94	88.6
95	88.6
96	88.6
97	88.6
98	88.6
99	88.6
100	88.6
